instanceLabel,item,itemLabel,entity_id,related_works_count
human,http://www.wikidata.org/entity/Q597875,Anatoly Marchenko,Q597875,1
human,http://www.wikidata.org/entity/Q6304429,Judy Feld Carr,Q6304429,0
human,http://www.wikidata.org/entity/Q5271147,Diana E. H. Russell,Q5271147,1
human,http://www.wikidata.org/entity/Q16006994,Jesús Héctor Gallego Herrera,Q16006994,0
human,http://www.wikidata.org/entity/Q81289,Nguyen Chi Thien,Q81289,0
human,http://www.wikidata.org/entity/Q468897,Claudette Colvin,Q468897,0
human,http://www.wikidata.org/entity/Q5068443,Chakufwa Chihana,Q5068443,0
human,http://www.wikidata.org/entity/Q15078679,Eugenia Bonetti,Q15078679,0
human,http://www.wikidata.org/entity/Q5442144,Felix Bonne,Q5442144,0
human,http://www.wikidata.org/entity/Q6782044,María Julia Hernández,Q6782044,0
human,http://www.wikidata.org/entity/Q1980761,Paraska Korolyuk,Q1980761,0
human,http://www.wikidata.org/entity/Q4263645,Pavel Litvinov,Q4263645,0
human,http://www.wikidata.org/entity/Q518591,Gareth Peirce,Q518591,0
human,http://www.wikidata.org/entity/Q6303513,Judith Krug,Q6303513,0
human,http://www.wikidata.org/entity/Q6935547,Mun Jeong-hyeon,Q6935547,1
human,http://www.wikidata.org/entity/Q7105959,Oscar Espinosa Chepe,Q7105959,0
human,http://www.wikidata.org/entity/Q18001222,Miss Major Griffin-Gracy,Q18001222,1
human,http://www.wikidata.org/entity/Q131725,Joan Baez,Q131725,18
human,http://www.wikidata.org/entity/Q146804,Phillip Buck,Q146804,0
human,http://www.wikidata.org/entity/Q242078,Navanethem Pillay,Q242078,0
human,http://www.wikidata.org/entity/Q4149401,Sergei Grigoryants,Q4149401,1
human,http://www.wikidata.org/entity/Q5095139,Chia Thye Poh,Q5095139,0
human,http://www.wikidata.org/entity/Q5362988,Elizabeth Holtzman,Q5362988,0
human,http://www.wikidata.org/entity/Q5504977,Fritz Moen,Q5504977,0
human,http://www.wikidata.org/entity/Q17859691,Ella Polyakova,Q17859691,0
human,http://www.wikidata.org/entity/Q1999165,Elizabeth Eckford,Q1999165,0
human,http://www.wikidata.org/entity/Q19894336,Cecil Rajendra,Q19894336,0
human,http://www.wikidata.org/entity/Q439435,Shin Suk-ja,Q439435,0
human,http://www.wikidata.org/entity/Q167762,Aref Dalila,Q167762,0
human,http://www.wikidata.org/entity/Q360471,Vladimir Bukovsky,Q360471,3
human,http://www.wikidata.org/entity/Q436213,Svetlana Gannushkina,Q436213,1
human,http://www.wikidata.org/entity/Q438397,Thomas Hammarberg,Q438397,62
human,http://www.wikidata.org/entity/Q299513,Alison Des Forges,Q299513,2
human,http://www.wikidata.org/entity/Q310886,Hissène Habré,Q310886,0
human,http://www.wikidata.org/entity/Q3086618,Françoise Tulkens,Q3086618,0
human,http://www.wikidata.org/entity/Q6294241,José Zalaquett,Q6294241,0
human,http://www.wikidata.org/entity/Q774982,Đoàn Viết Hoạt,Q774982,0
human,http://www.wikidata.org/entity/Q5213944,Dan Massey,Q5213944,0
human,http://www.wikidata.org/entity/Q6745231,Mam Sonando,Q6745231,0
human,http://www.wikidata.org/entity/Q6828565,Michael Beloff,Q6828565,0
human,http://www.wikidata.org/entity/Q7938770,Vladimiro Roca,Q7938770,0
human,http://www.wikidata.org/entity/Q7022793,Nguyễn Đan Quế,Q7022793,0
human,http://www.wikidata.org/entity/Q23020546,Dumile Feni,Q23020546,1
human,http://www.wikidata.org/entity/Q23678494,Parvaneh Milani,Q23678494,0
